 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  5.13E-04   1.28E+01   4.92E+00   4.86E+00
  5.25E-04   1.21E+01   4.71E+00   4.66E+00
  5.37E-04   1.14E+01   4.52E+00   4.46E+00
  5.50E-04   1.07E+01   4.32E+00   4.27E+00
  5.62E-04   1.01E+01   4.13E+00   4.08E+00
  5.75E-04   9.56E+00   3.95E+00   3.90E+00
  5.89E-04   9.01E+00   3.77E+00   3.72E+00
  6.03E-04   8.48E+00   3.60E+00   3.55E+00
  6.17E-04   7.99E+00   3.43E+00   3.38E+00
  6.31E-04   7.51E+00   3.27E+00   3.22E+00
  6.46E-04   7.06E+00   3.11E+00   3.06E+00
  6.61E-04   6.63E+00   2.96E+00   2.91E+00
  6.76E-04   6.23E+00   2.81E+00   2.76E+00
  6.92E-04   5.84E+00   2.67E+00   2.61E+00
  7.08E-04   5.47E+00   2.53E+00   2.48E+00
  7.24E-04   5.12E+00   2.39E+00   2.34E+00
  7.41E-04   4.79E+00   2.26E+00   2.21E+00
  7.59E-04   4.47E+00   2.14E+00   2.09E+00
  7.76E-04   4.18E+00   2.01E+00   1.97E+00
  7.94E-04   3.89E+00   1.90E+00   1.85E+00
  8.13E-04   3.62E+00   1.78E+00   1.74E+00
  8.32E-04   3.37E+00   1.68E+00   1.63E+00
  8.51E-04   3.13E+00   1.57E+00   1.53E+00
  8.71E-04   2.90E+00   1.47E+00   1.43E+00
  8.91E-04   2.69E+00   1.38E+00   1.34E+00
  9.12E-04   2.49E+00   1.28E+00   1.24E+00
  9.33E-04   2.29E+00   1.20E+00   1.16E+00
  9.55E-04   2.12E+00   1.11E+00   1.08E+00
  9.77E-04   1.95E+00   1.03E+00   9.98E-01
  1.00E-03   1.79E+00   9.57E-01   9.24E-01
  1.02E-03   1.63E+00   8.65E-01   8.36E-01
  1.05E-03   1.48E+00   7.74E-01   7.49E-01
  1.07E-03   1.32E+00   6.85E-01   6.64E-01
  1.10E-03   1.18E+00   6.02E-01   5.84E-01
  1.12E-03   1.04E+00   5.24E-01   5.09E-01
  1.15E-03   9.06E-01   4.52E-01   4.40E-01
  1.17E-03   7.86E-01   3.87E-01   3.77E-01
  1.20E-03   6.77E-01   3.29E-01   3.21E-01
  1.23E-03   5.79E-01   2.78E-01   2.71E-01
  1.26E-03   4.92E-01   2.33E-01   2.28E-01
  1.29E-03   4.16E-01   1.94E-01   1.90E-01
  1.32E-03   3.50E-01   1.61E-01   1.58E-01
  1.35E-03   2.94E-01   1.33E-01   1.31E-01
  1.38E-03   2.45E-01   1.09E-01   1.07E-01
  1.41E-03   2.04E-01   8.96E-02   8.81E-02
  1.45E-03   1.69E-01   7.31E-02   7.19E-02
  1.48E-03   1.40E-01   5.95E-02   5.86E-02
  1.51E-03   1.15E-01   4.83E-02   4.76E-02
  1.55E-03   9.51E-02   3.92E-02   3.87E-02
  1.58E-03   7.84E-02   3.17E-02   3.13E-02
  1.62E-03   6.46E-02   2.57E-02   2.54E-02
  1.66E-03   5.32E-02   2.08E-02   2.06E-02
  1.70E-03   4.39E-02   1.68E-02   1.67E-02
  1.74E-03   3.63E-02   1.36E-02   1.35E-02
  1.78E-03   3.00E-02   1.11E-02   1.10E-02
  1.82E-03   2.49E-02   9.01E-03   8.93E-03
