 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.25E-02   2.14E-04   1.27E-07   2.82E-11   3.90E-13   1.53E-13
   Max.:          3.25E+02   6.38E+00   3.08E-02   1.86E-06   7.23E-08   1.45E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
  -107    -106    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -106    -105    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -105    -104    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -104    -103    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -103    -102    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -102    -101    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -101    -100    5.32E-01   3.61E-03   1.18E-05   3.44E-09   4.26E-11   4.06E-12
  -100     -99    2.94E+00   1.52E-02   6.42E-05   9.57E-09   1.47E-10   1.22E-11
   -99     -98    2.94E+00   1.52E-02   6.42E-05   9.57E-09   1.47E-10   1.22E-11
   -98     -97    2.94E+00   1.52E-02   6.42E-05   9.57E-09   1.47E-10   1.22E-11
   -97     -96    2.94E+00   1.52E-02   6.42E-05   9.57E-09   1.47E-10   1.22E-11
   -96     -95    2.94E+00   1.52E-02   6.42E-05   9.57E-09   1.47E-10   1.22E-11
   -95     -94    2.94E+00   1.52E-02   6.42E-05   9.57E-09   1.47E-10   1.22E-11
   -94     -93    2.94E+00   1.52E-02   6.42E-05   9.57E-09   1.47E-10   1.22E-11
   -93     -92    2.94E+00   1.52E-02   6.42E-05   9.57E-09   1.47E-10   1.22E-11
   -92     -91    2.94E+00   1.52E-02   6.42E-05   9.57E-09   1.47E-10   1.22E-11
   -91     -90    2.94E+00   1.52E-02   6.42E-05   9.57E-09   1.47E-10   1.22E-11
   -90     -89    3.80E+01   6.66E-01   2.82E-03   1.72E-07   8.01E-09   1.52E-09
   -89     -88    3.80E+01   6.66E-01   2.82E-03   1.72E-07   8.01E-09   1.52E-09
   -88     -87    3.80E+01   6.66E-01   2.82E-03   1.72E-07   8.01E-09   1.52E-09
   -87     -86    3.80E+01   6.66E-01   2.82E-03   1.72E-07   8.01E-09   1.52E-09
   -86     -85    3.80E+01   6.66E-01   2.82E-03   1.72E-07   8.01E-09   1.52E-09
   -85     -84    3.80E+01   6.66E-01   2.82E-03   1.72E-07   8.01E-09   1.52E-09
   -84     -83    3.80E+01   6.66E-01   2.82E-03   1.72E-07   8.01E-09   1.52E-09
   -83     -82    3.80E+01   6.66E-01   2.82E-03   1.72E-07   8.01E-09   1.52E-09
   -82     -81    3.80E+01   6.66E-01   2.82E-03   1.72E-07   8.01E-09   1.52E-09
   -81     -80    3.80E+01   6.66E-01   2.82E-03   1.72E-07   8.01E-09   1.52E-09
   -80     -79    7.31E+01   1.51E+00   4.43E-03   5.02E-07   1.60E-08   3.14E-09
   -79     -78    7.31E+01   1.51E+00   4.43E-03   5.02E-07   1.60E-08   3.14E-09
   -78     -77    7.31E+01   1.51E+00   4.43E-03   5.02E-07   1.60E-08   3.14E-09
   -77     -76    7.31E+01   1.51E+00   4.43E-03   5.02E-07   1.60E-08   3.14E-09
   -76     -75    7.31E+01   1.51E+00   4.43E-03   5.02E-07   1.60E-08   3.14E-09
   -75     -74    7.31E+01   1.51E+00   4.43E-03   5.02E-07   1.60E-08   3.14E-09
   -74     -73    7.31E+01   1.51E+00   4.43E-03   5.02E-07   1.60E-08   3.14E-09
   -73     -72    7.31E+01   1.51E+00   4.43E-03   5.02E-07   1.60E-08   3.14E-09
   -72     -71    7.31E+01   1.51E+00   4.43E-03   5.02E-07   1.60E-08   3.14E-09
   -71     -70    7.31E+01   1.51E+00   4.43E-03   5.02E-07   1.60E-08   3.14E-09
   -70     -69    7.69E+01   1.65E+00   4.80E-03   4.53E-07   1.52E-08   3.09E-09
   -69     -68    7.69E+01   1.65E+00   4.80E-03   4.53E-07   1.52E-08   3.09E-09
   -68     -67    7.69E+01   1.65E+00   4.80E-03   4.53E-07   1.52E-08   3.09E-09
   -67     -66    7.69E+01   1.65E+00   4.80E-03   4.53E-07   1.52E-08   3.09E-09
   -66     -65    7.69E+01   1.65E+00   4.80E-03   4.53E-07   1.52E-08   3.09E-09
   -65     -64    7.69E+01   1.65E+00   4.80E-03   4.53E-07   1.52E-08   3.09E-09
   -64     -63    7.69E+01   1.65E+00   4.80E-03   4.53E-07   1.52E-08   3.09E-09
   -63     -62    7.69E+01   1.65E+00   4.80E-03   4.53E-07   1.52E-08   3.09E-09
   -62     -61    7.69E+01   1.65E+00   4.80E-03   4.53E-07   1.52E-08   3.09E-09
   -61     -60    7.69E+01   1.65E+00   4.80E-03   4.53E-07   1.52E-08   3.09E-09
   -60     -59    8.94E+01   1.84E+00   5.54E-03   5.00E-07   1.72E-08   3.73E-09
   -59     -58    8.94E+01   1.84E+00   5.54E-03   5.00E-07   1.72E-08   3.73E-09
   -58     -57    8.94E+01   1.84E+00   5.54E-03   5.00E-07   1.72E-08   3.73E-09
   -57     -56    8.94E+01   1.84E+00   5.54E-03   5.00E-07   1.72E-08   3.73E-09
   -56     -55    8.94E+01   1.84E+00   5.54E-03   5.00E-07   1.72E-08   3.73E-09
   -55     -54    8.94E+01   1.84E+00   5.54E-03   5.00E-07   1.72E-08   3.73E-09
   -54     -53    8.94E+01   1.84E+00   5.54E-03   5.00E-07   1.72E-08   3.73E-09
