 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
   Max.:          1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
 ------  ------   --------   --------   --------   --------   --------   --------  
   9.2     9.3    9.13E+02   1.89E+01   5.76E-02   5.21E-06   1.81E-07   3.80E-08
   9.3     9.4    9.13E+02   1.89E+01   5.76E-02   5.21E-06   1.81E-07   3.80E-08
   9.4     9.5    9.13E+02   1.89E+01   5.76E-02   5.21E-06   1.81E-07   3.80E-08
   9.5     9.6    9.13E+02   1.89E+01   5.76E-02   5.21E-06   1.81E-07   3.80E-08
   9.6     9.7    9.13E+02   1.89E+01   5.76E-02   5.21E-06   1.81E-07   3.80E-08
   9.7     9.8    9.13E+02   1.89E+01   5.76E-02   5.21E-06   1.81E-07   3.80E-08
   9.8     9.9    9.13E+02   1.89E+01   5.76E-02   5.21E-06   1.81E-07   3.80E-08
   9.9    10.0    9.13E+02   1.89E+01   5.76E-02   5.21E-06   1.81E-07   3.80E-08
  10.0    10.1    1.08E+03   2.24E+01   6.84E-02   6.28E-06   2.14E-07   4.49E-08
  10.1    10.2    1.08E+03   2.24E+01   6.84E-02   6.28E-06   2.14E-07   4.49E-08
  10.2    10.3    1.08E+03   2.24E+01   6.84E-02   6.28E-06   2.14E-07   4.49E-08
  10.3    10.4    1.08E+03   2.24E+01   6.84E-02   6.28E-06   2.14E-07   4.49E-08
  10.4    10.5    1.08E+03   2.24E+01   6.84E-02   6.28E-06   2.14E-07   4.49E-08
  10.5    10.6    1.08E+03   2.24E+01   6.84E-02   6.28E-06   2.14E-07   4.49E-08
  10.6    10.7    1.08E+03   2.24E+01   6.84E-02   6.28E-06   2.14E-07   4.49E-08
  10.7    10.8    1.08E+03   2.24E+01   6.84E-02   6.28E-06   2.14E-07   4.49E-08
  10.8    10.9    1.08E+03   2.24E+01   6.84E-02   6.28E-06   2.14E-07   4.49E-08
  10.9    11.0    1.08E+03   2.24E+01   6.84E-02   6.28E-06   2.14E-07   4.49E-08
  11.0    11.1    1.40E+03   2.88E+01   8.77E-02   7.86E-06   2.72E-07   5.90E-08
  11.1    11.2    1.40E+03   2.88E+01   8.77E-02   7.86E-06   2.72E-07   5.90E-08
  11.2    11.3    1.40E+03   2.88E+01   8.77E-02   7.86E-06   2.72E-07   5.90E-08
  11.3    11.4    1.40E+03   2.88E+01   8.77E-02   7.86E-06   2.72E-07   5.90E-08
  11.4    11.5    1.40E+03   2.88E+01   8.77E-02   7.86E-06   2.72E-07   5.90E-08
  11.5    11.6    1.40E+03   2.88E+01   8.77E-02   7.86E-06   2.72E-07   5.90E-08
  11.6    11.7    1.40E+03   2.88E+01   8.77E-02   7.86E-06   2.72E-07   5.90E-08
  11.7    11.8    1.40E+03   2.88E+01   8.77E-02   7.86E-06   2.72E-07   5.90E-08
  11.8    11.9    1.40E+03   2.88E+01   8.77E-02   7.86E-06   2.72E-07   5.90E-08
  11.9    12.0    1.40E+03   2.88E+01   8.77E-02   7.86E-06   2.72E-07   5.90E-08
  12.0    12.1    1.94E+03   4.10E+01   1.20E-01   1.09E-05   3.81E-07   8.04E-08
  12.1    12.2    1.94E+03   4.10E+01   1.20E-01   1.09E-05   3.81E-07   8.04E-08
  12.2    12.3    1.94E+03   4.10E+01   1.20E-01   1.09E-05   3.81E-07   8.04E-08
  12.3    12.4    1.94E+03   4.10E+01   1.20E-01   1.09E-05   3.81E-07   8.04E-08
  12.4    12.5    1.94E+03   4.10E+01   1.20E-01   1.09E-05   3.81E-07   8.04E-08
  12.5    12.6    1.94E+03   4.10E+01   1.20E-01   1.09E-05   3.81E-07   8.04E-08
  12.6    12.7    1.94E+03   4.10E+01   1.20E-01   1.09E-05   3.81E-07   8.04E-08
  12.7    12.8    1.94E+03   4.10E+01   1.20E-01   1.09E-05   3.81E-07   8.04E-08
  12.8    12.9    1.94E+03   4.10E+01   1.20E-01   1.09E-05   3.81E-07   8.04E-08
  12.9    13.0    1.94E+03   4.10E+01   1.20E-01   1.09E-05   3.81E-07   8.04E-08
  13.0    13.1    3.38E+03   7.18E+01   2.19E-01   2.00E-05   6.70E-07   1.40E-07
  13.1    13.2    3.38E+03   7.18E+01   2.19E-01   2.00E-05   6.70E-07   1.40E-07
  13.2    13.3    3.38E+03   7.18E+01   2.19E-01   2.00E-05   6.70E-07   1.40E-07
  13.3    13.4    3.38E+03   7.18E+01   2.19E-01   2.00E-05   6.70E-07   1.40E-07
  13.4    13.5    3.38E+03   7.18E+01   2.19E-01   2.00E-05   6.70E-07   1.40E-07
  13.5    13.6    3.38E+03   7.18E+01   2.19E-01   2.00E-05   6.70E-07   1.40E-07
  13.6    13.7    3.38E+03   7.18E+01   2.19E-01   2.00E-05   6.70E-07   1.40E-07
  13.7    13.8    3.38E+03   7.18E+01   2.19E-01   2.00E-05   6.70E-07   1.40E-07
  13.8    13.9    3.38E+03   7.18E+01   2.19E-01   2.00E-05   6.70E-07   1.40E-07
  13.9    14.0    3.38E+03   7.18E+01   2.19E-01   2.00E-05   6.70E-07   1.40E-07
  14.0    14.1    1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
  14.1    14.2    1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
  14.2    14.3    1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
  14.3    14.4    1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
  14.4    14.5    1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
  14.5    14.6    1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
  14.6    14.7    1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
  14.7    14.8    1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
  14.8    14.9    1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
  14.9    15.0    1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
  15.0    15.1    1.76E+02   1.33E+00   2.34E-03   1.51E-06   1.56E-08   1.65E-09
  15.1    15.2    1.76E+02   1.33E+00   2.34E-03   1.51E-06   1.56E-08   1.65E-09
  15.2    15.3    1.76E+02   1.33E+00   2.34E-03   1.51E-06   1.56E-08   1.65E-09
  15.3    15.4    1.76E+02   1.33E+00   2.34E-03   1.51E-06   1.56E-08   1.65E-09
  15.4    15.5    1.76E+02   1.33E+00   2.34E-03   1.51E-06   1.56E-08   1.65E-09
  15.5    15.6    1.76E+02   1.33E+00   2.34E-03   1.51E-06   1.56E-08   1.65E-09
  15.6    15.7    1.76E+02   1.33E+00   2.34E-03   1.51E-06   1.56E-08   1.65E-09
  15.7    15.8    1.76E+02   1.33E+00   2.34E-03   1.51E-06   1.56E-08   1.65E-09
  15.8    15.9    1.76E+02   1.33E+00   2.34E-03   1.51E-06   1.56E-08   1.65E-09
  15.9    16.0    1.76E+02   1.33E+00   2.34E-03   1.51E-06   1.56E-08   1.65E-09
  16.0    16.1    3.52E+01   4.68E-01   5.05E-04   1.54E-07   2.14E-09   4.17E-10
  16.1    16.2    3.52E+01   4.68E-01   5.05E-04   1.54E-07   2.14E-09   4.17E-10
  16.2    16.3    3.52E+01   4.68E-01   5.05E-04   1.54E-07   2.14E-09   4.17E-10
  16.3    16.4    3.52E+01   4.68E-01   5.05E-04   1.54E-07   2.14E-09   4.17E-10
  16.4    16.5    3.52E+01   4.68E-01   5.05E-04   1.54E-07   2.14E-09   4.17E-10
  16.5    16.6    3.52E+01   4.68E-01   5.05E-04   1.54E-07   2.14E-09   4.17E-10
  16.6    16.7    3.52E+01   4.68E-01   5.05E-04   1.54E-07   2.14E-09   4.17E-10
  16.7    16.8    3.52E+01   4.68E-01   5.05E-04   1.54E-07   2.14E-09   4.17E-10
  16.8    16.9    3.52E+01   4.68E-01   5.05E-04   1.54E-07   2.14E-09   4.17E-10
  16.9    17.0    3.52E+01   4.68E-01   5.05E-04   1.54E-07   2.14E-09   4.17E-10
  17.0    17.1    3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
  17.1    17.2    3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
  17.2    17.3    3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
  17.3    17.4    3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
  17.4    17.5    3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
  17.5    17.6    3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
  17.6    17.7    3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
  17.7    17.8    3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
  17.8    17.9    3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
  17.9    18.0    3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
  18.0    18.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.1    18.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
