 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.04E-02   6.10E-05   1.42E-07   9.58E-12   5.50E-13   1.68E-13
   Max.:          9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   -11     -10    7.10E+01   3.03E-01   1.81E-03   3.39E-07   2.91E-08   1.00E-08
   -10      -9    9.37E+01   4.09E-01   2.62E-03   5.17E-07   4.80E-08   1.78E-08
    -9      -8    9.37E+01   4.09E-01   2.62E-03   5.17E-07   4.80E-08   1.78E-08
    -8      -7    9.37E+01   4.09E-01   2.62E-03   5.17E-07   4.80E-08   1.78E-08
    -7      -6    9.37E+01   4.09E-01   2.62E-03   5.17E-07   4.80E-08   1.78E-08
    -6      -5    9.37E+01   4.09E-01   2.62E-03   5.17E-07   4.80E-08   1.78E-08
    -5      -4    9.37E+01   4.09E-01   2.62E-03   5.17E-07   4.80E-08   1.78E-08
    -4      -3    9.37E+01   4.09E-01   2.62E-03   5.17E-07   4.80E-08   1.78E-08
    -3      -2    9.37E+01   4.09E-01   2.62E-03   5.17E-07   4.80E-08   1.78E-08
    -2      -1    9.37E+01   4.09E-01   2.62E-03   5.17E-07   4.80E-08   1.78E-08
    -1       0    9.37E+01   4.09E-01   2.62E-03   5.17E-07   4.80E-08   1.78E-08
     0       1    9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
     1       2    9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
     2       3    9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
     3       4    9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
     4       5    9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
     5       6    9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
     6       7    9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
     7       8    9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
     8       9    9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
     9      10    9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
    10      11    7.11E+01   3.04E-01   1.81E-03   3.39E-07   2.91E-08   1.01E-08
    11      12    7.11E+01   3.04E-01   1.81E-03   3.39E-07   2.91E-08   1.01E-08
    12      13    7.11E+01   3.04E-01   1.81E-03   3.39E-07   2.91E-08   1.01E-08
    13      14    7.11E+01   3.04E-01   1.81E-03   3.39E-07   2.91E-08   1.01E-08
    14      15    7.11E+01   3.04E-01   1.81E-03   3.39E-07   2.91E-08   1.01E-08
    15      16    7.11E+01   3.04E-01   1.81E-03   3.39E-07   2.91E-08   1.01E-08
    16      17    7.11E+01   3.04E-01   1.81E-03   3.39E-07   2.91E-08   1.01E-08
    17      18    7.11E+01   3.04E-01   1.81E-03   3.39E-07   2.91E-08   1.01E-08
    18      19    7.11E+01   3.04E-01   1.81E-03   3.39E-07   2.91E-08   1.01E-08
    19      20    7.11E+01   3.04E-01   1.81E-03   3.39E-07   2.91E-08   1.01E-08
    20      21    4.38E+01   2.05E-01   1.11E-03   2.00E-07   1.72E-08   6.24E-09
    21      22    4.38E+01   2.05E-01   1.11E-03   2.00E-07   1.72E-08   6.24E-09
    22      23    4.38E+01   2.05E-01   1.11E-03   2.00E-07   1.72E-08   6.24E-09
    23      24    4.38E+01   2.05E-01   1.11E-03   2.00E-07   1.72E-08   6.24E-09
    24      25    4.38E+01   2.05E-01   1.11E-03   2.00E-07   1.72E-08   6.24E-09
    25      26    4.38E+01   2.05E-01   1.11E-03   2.00E-07   1.72E-08   6.24E-09
    26      27    4.38E+01   2.05E-01   1.11E-03   2.00E-07   1.72E-08   6.24E-09
    27      28    4.38E+01   2.05E-01   1.11E-03   2.00E-07   1.72E-08   6.24E-09
    28      29    4.38E+01   2.05E-01   1.11E-03   2.00E-07   1.72E-08   6.24E-09
    29      30    4.38E+01   2.05E-01   1.11E-03   2.00E-07   1.72E-08   6.24E-09
    30      31    3.35E+01   1.78E-01   9.22E-04   1.65E-07   1.34E-08   4.85E-09
    31      32    3.35E+01   1.78E-01   9.22E-04   1.65E-07   1.34E-08   4.85E-09
    32      33    3.35E+01   1.78E-01   9.22E-04   1.65E-07   1.34E-08   4.85E-09
    33      34    3.35E+01   1.78E-01   9.22E-04   1.65E-07   1.34E-08   4.85E-09
    34      35    3.35E+01   1.78E-01   9.22E-04   1.65E-07   1.34E-08   4.85E-09
    35      36    3.35E+01   1.78E-01   9.22E-04   1.65E-07   1.34E-08   4.85E-09
    36      37    3.35E+01   1.78E-01   9.22E-04   1.65E-07   1.34E-08   4.85E-09
    37      38    3.35E+01   1.78E-01   9.22E-04   1.65E-07   1.34E-08   4.85E-09
    38      39    3.35E+01   1.78E-01   9.22E-04   1.65E-07   1.34E-08   4.85E-09
    39      40    3.35E+01   1.78E-01   9.22E-04   1.65E-07   1.34E-08   4.85E-09
    40      41    2.70E+01   1.51E-01   8.18E-04   1.44E-07   1.17E-08   4.67E-09
