 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
   Max.:          1.84E+03   8.21E+00   5.10E-02   9.93E-06   8.73E-07   3.23E-07
 ------  ------   --------   --------   --------   --------   --------   --------  
  15.1    15.2    1.84E+03   7.62E+00   4.65E-02   9.93E-06   8.73E-07   3.23E-07
  15.2    15.3    1.84E+03   7.62E+00   4.65E-02   9.93E-06   8.73E-07   3.23E-07
  15.3    15.4    1.84E+03   7.62E+00   4.65E-02   9.93E-06   8.73E-07   3.23E-07
  15.4    15.5    1.84E+03   7.62E+00   4.65E-02   9.93E-06   8.73E-07   3.23E-07
  15.5    15.6    1.84E+03   7.62E+00   4.65E-02   9.93E-06   8.73E-07   3.23E-07
  15.6    15.7    1.84E+03   7.62E+00   4.65E-02   9.93E-06   8.73E-07   3.23E-07
  15.7    15.8    1.84E+03   7.62E+00   4.65E-02   9.93E-06   8.73E-07   3.23E-07
  15.8    15.9    1.84E+03   7.62E+00   4.65E-02   9.93E-06   8.73E-07   3.23E-07
  15.9    16.0    1.84E+03   7.62E+00   4.65E-02   9.93E-06   8.73E-07   3.23E-07
  16.0    16.1    3.51E+01   3.97E-01   6.22E-04   4.91E-07   6.94E-09   6.64E-10
  16.1    16.2    3.51E+01   3.97E-01   6.22E-04   4.91E-07   6.94E-09   6.64E-10
  16.2    16.3    3.51E+01   3.97E-01   6.22E-04   4.91E-07   6.94E-09   6.64E-10
  16.3    16.4    3.51E+01   3.97E-01   6.22E-04   4.91E-07   6.94E-09   6.64E-10
  16.4    16.5    3.51E+01   3.97E-01   6.22E-04   4.91E-07   6.94E-09   6.64E-10
  16.5    16.6    3.51E+01   3.97E-01   6.22E-04   4.91E-07   6.94E-09   6.64E-10
  16.6    16.7    3.51E+01   3.97E-01   6.22E-04   4.91E-07   6.94E-09   6.64E-10
  16.7    16.8    3.51E+01   3.97E-01   6.22E-04   4.91E-07   6.94E-09   6.64E-10
  16.8    16.9    3.51E+01   3.97E-01   6.22E-04   4.91E-07   6.94E-09   6.64E-10
  16.9    17.0    3.51E+01   3.97E-01   6.22E-04   4.91E-07   6.94E-09   6.64E-10
  17.0    17.1    7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
  17.1    17.2    7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
  17.2    17.3    7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
  17.3    17.4    7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
  17.4    17.5    7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
  17.5    17.6    7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
  17.6    17.7    7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
  17.7    17.8    7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
  17.8    17.9    7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
  17.9    18.0    7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
  18.0    18.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.1    18.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
