 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  4.79E-05   1.81E+02   1.65E+01   1.65E+01
  4.90E-05   1.71E+02   1.57E+01   1.57E+01
  5.01E-05   1.62E+02   1.50E+01   1.50E+01
  5.13E-05   1.54E+02   1.43E+01   1.43E+01
  5.25E-05   1.46E+02   1.37E+01   1.37E+01
  5.37E-05   1.38E+02   1.31E+01   1.31E+01
  5.50E-05   1.31E+02   1.25E+01   1.25E+01
  5.62E-05   1.24E+02   1.19E+01   1.19E+01
  5.75E-05   1.17E+02   1.14E+01   1.14E+01
  5.89E-05   1.11E+02   1.08E+01   1.08E+01
  6.03E-05   1.05E+02   1.04E+01   1.04E+01
  6.17E-05   1.00E+02   9.89E+00   9.88E+00
  6.31E-05   9.48E+01   9.44E+00   9.43E+00
  6.46E-05   8.98E+01   9.01E+00   9.00E+00
  6.61E-05   8.52E+01   8.60E+00   8.59E+00
  6.76E-05   8.07E+01   8.20E+00   8.20E+00
  6.92E-05   7.65E+01   7.83E+00   7.83E+00
  7.08E-05   7.25E+01   7.48E+00   7.47E+00
  7.24E-05   6.88E+01   7.14E+00   7.13E+00
  7.41E-05   6.52E+01   6.81E+00   6.81E+00
  7.59E-05   6.18E+01   6.50E+00   6.50E+00
  7.76E-05   5.86E+01   6.20E+00   6.20E+00
  7.94E-05   5.56E+01   5.92E+00   5.92E+00
  8.13E-05   5.27E+01   5.65E+00   5.65E+00
  8.32E-05   5.00E+01   5.40E+00   5.40E+00
  8.51E-05   4.74E+01   5.15E+00   5.15E+00
  8.71E-05   4.50E+01   4.92E+00   4.92E+00
  8.91E-05   4.26E+01   4.69E+00   4.69E+00
  9.12E-05   4.04E+01   4.48E+00   4.48E+00
  9.33E-05   3.84E+01   4.28E+00   4.28E+00
  9.55E-05   3.64E+01   4.08E+00   4.08E+00
  9.77E-05   3.45E+01   3.90E+00   3.90E+00
  1.00E-04   3.27E+01   3.72E+00   3.72E+00
  1.02E-04   3.11E+01   3.63E+00   3.63E+00
  1.05E-04   2.95E+01   3.53E+00   3.53E+00
  1.07E-04   2.80E+01   3.44E+00   3.44E+00
  1.10E-04   2.66E+01   3.35E+00   3.35E+00
  1.12E-04   2.52E+01   3.26E+00   3.26E+00
  1.15E-04   2.39E+01   3.17E+00   3.17E+00
  1.17E-04   2.27E+01   3.09E+00   3.09E+00
  1.20E-04   2.16E+01   3.00E+00   3.00E+00
  1.23E-04   2.05E+01   2.92E+00   2.92E+00
  1.26E-04   1.95E+01   2.83E+00   2.83E+00
  1.29E-04   1.85E+01   2.75E+00   2.75E+00
  1.32E-04   1.76E+01   2.67E+00   2.67E+00
  1.35E-04   1.67E+01   2.59E+00   2.59E+00
  1.38E-04   1.59E+01   2.51E+00   2.51E+00
  1.41E-04   1.51E+01   2.44E+00   2.44E+00
  1.45E-04   1.44E+01   2.36E+00   2.36E+00
  1.48E-04   1.36E+01   2.29E+00   2.29E+00
  1.51E-04   1.30E+01   2.22E+00   2.22E+00
  1.55E-04   1.23E+01   2.15E+00   2.15E+00
  1.58E-04   1.17E+01   2.08E+00   2.08E+00
  1.62E-04   1.11E+01   2.01E+00   2.01E+00
  1.66E-04   1.06E+01   1.95E+00   1.94E+00
  1.70E-04   1.01E+01   1.88E+00   1.88E+00
  1.74E-04   9.56E+00   1.82E+00   1.82E+00
  1.78E-04   9.08E+00   1.76E+00   1.76E+00
  1.82E-04   8.63E+00   1.70E+00   1.70E+00
  1.86E-04   8.20E+00   1.64E+00   1.64E+00
  1.91E-04   7.79E+00   1.58E+00   1.58E+00
  1.95E-04   7.40E+00   1.53E+00   1.53E+00
  2.00E-04   7.03E+00   1.47E+00   1.47E+00
  2.04E-04   6.68E+00   1.42E+00   1.42E+00
  2.09E-04   6.34E+00   1.37E+00   1.37E+00
  2.14E-04   6.02E+00   1.32E+00   1.32E+00
  2.19E-04   5.72E+00   1.27E+00   1.27E+00
  2.24E-04   5.43E+00   1.22E+00   1.22E+00
  2.29E-04   5.15E+00   1.18E+00   1.18E+00
  2.34E-04   4.89E+00   1.13E+00   1.13E+00
  2.40E-04   4.64E+00   1.09E+00   1.09E+00
  2.45E-04   4.40E+00   1.05E+00   1.05E+00
  2.51E-04   4.18E+00   1.01E+00   1.01E+00
  2.57E-04   3.96E+00   9.69E-01   9.66E-01
  2.63E-04   3.76E+00   9.31E-01   9.28E-01
  2.69E-04   3.56E+00   8.94E-01   8.91E-01
  2.75E-04   3.38E+00   8.58E-01   8.55E-01
  2.82E-04   3.20E+00   8.23E-01   8.21E-01
  2.88E-04   3.04E+00   7.90E-01   7.87E-01
  2.95E-04   2.88E+00   7.57E-01   7.55E-01
  3.02E-04   2.73E+00   7.26E-01   7.23E-01
  3.09E-04   2.58E+00   6.96E-01   6.93E-01
  3.16E-04   2.45E+00   6.67E-01   6.64E-01
  3.24E-04   2.32E+00   6.46E-01   6.44E-01
  3.31E-04   2.20E+00   6.26E-01   6.24E-01
  3.39E-04   2.08E+00   6.07E-01   6.05E-01
  3.47E-04   1.98E+00   5.89E-01   5.86E-01
  3.55E-04   1.87E+00   5.72E-01   5.69E-01
  3.63E-04   1.78E+00   5.55E-01   5.52E-01
  3.72E-04   1.69E+00   5.38E-01   5.35E-01
  3.80E-04   1.61E+00   5.22E-01   5.19E-01
  3.89E-04   1.53E+00   5.07E-01   5.03E-01
  3.98E-04   1.45E+00   4.92E-01   4.88E-01
  4.07E-04   1.38E+00   4.77E-01   4.74E-01
  4.17E-04   1.31E+00   4.63E-01   4.60E-01
  4.27E-04   1.25E+00   4.50E-01   4.46E-01
  4.37E-04   1.19E+00   4.37E-01   4.32E-01
  4.47E-04   1.13E+00   4.24E-01   4.19E-01
  4.57E-04   1.08E+00   4.11E-01   4.07E-01
  4.68E-04   1.03E+00   3.99E-01   3.95E-01
  4.79E-04   9.82E-01   3.87E-01   3.83E-01
  4.90E-04   9.36E-01   3.76E-01   3.71E-01
  5.01E-04   8.93E-01   3.65E-01   3.60E-01
  5.13E-04   8.52E-01   3.54E-01   3.49E-01
  5.25E-04   8.14E-01   3.43E-01   3.38E-01
  5.37E-04   7.77E-01   3.33E-01   3.27E-01
  5.50E-04   7.41E-01   3.22E-01   3.17E-01
  5.62E-04   7.08E-01   3.13E-01   3.07E-01
  5.75E-04   6.76E-01   3.03E-01   2.97E-01
  5.89E-04   6.45E-01   2.93E-01   2.87E-01
  6.03E-04   6.16E-01   2.84E-01   2.78E-01
  6.17E-04   5.88E-01   2.75E-01   2.69E-01
  6.31E-04   5.61E-01   2.66E-01   2.60E-01
  6.46E-04   5.35E-01   2.57E-01   2.51E-01
  6.61E-04   5.10E-01   2.48E-01   2.42E-01
  6.76E-04   4.86E-01   2.39E-01   2.33E-01
  6.92E-04   4.63E-01   2.31E-01   2.25E-01
  7.08E-04   4.41E-01   2.22E-01   2.16E-01
  7.24E-04   4.20E-01   2.14E-01   2.08E-01
  7.41E-04   3.99E-01   2.06E-01   2.00E-01
  7.59E-04   3.79E-01   1.98E-01   1.92E-01
  7.76E-04   3.60E-01   1.90E-01   1.84E-01
  7.94E-04   3.41E-01   1.82E-01   1.76E-01
  8.13E-04   3.24E-01   1.74E-01   1.68E-01
  8.32E-04   3.06E-01   1.67E-01   1.61E-01
  8.51E-04   2.90E-01   1.59E-01   1.53E-01
  8.71E-04   2.74E-01   1.52E-01   1.46E-01
  8.91E-04   2.58E-01   1.45E-01   1.39E-01
  9.12E-04   2.43E-01   1.38E-01   1.32E-01
  9.33E-04   2.29E-01   1.31E-01   1.25E-01
  9.55E-04   2.15E-01   1.24E-01   1.18E-01
  9.77E-04   2.02E-01   1.17E-01   1.12E-01
  1.00E-03   1.89E-01   1.11E-01   1.05E-01
  1.02E-03   1.76E-01   1.02E-01   9.72E-02
  1.05E-03   1.62E-01   9.29E-02   8.87E-02
  1.07E-03   1.48E-01   8.38E-02   8.02E-02
  1.10E-03   1.33E-01   7.49E-02   7.18E-02
  1.12E-03   1.19E-01   6.63E-02   6.37E-02
  1.15E-03   1.06E-01   5.82E-02   5.60E-02
  1.17E-03   9.33E-02   5.06E-02   4.88E-02
  1.20E-03   8.16E-02   4.37E-02   4.22E-02
  1.23E-03   7.08E-02   3.75E-02   3.62E-02
  1.26E-03   6.10E-02   3.19E-02   3.09E-02
  1.29E-03   5.23E-02   2.70E-02   2.62E-02
  1.32E-03   4.46E-02   2.27E-02   2.20E-02
  1.35E-03   3.78E-02   1.90E-02   1.85E-02
  1.38E-03   3.20E-02   1.58E-02   1.54E-02
  1.41E-03   2.69E-02   1.31E-02   1.28E-02
  1.45E-03   2.26E-02   1.09E-02   1.06E-02
  1.48E-03   1.89E-02   8.97E-03   8.77E-03
  1.51E-03   1.58E-02   7.39E-03   7.23E-03
  1.55E-03   1.32E-02   6.08E-03   5.95E-03
  1.58E-03   1.10E-02   5.00E-03   4.90E-03
  1.62E-03   9.20E-03   4.11E-03   4.03E-03
  1.66E-03   7.68E-03   3.38E-03   3.32E-03
  1.70E-03   6.43E-03   2.78E-03   2.73E-03
  1.74E-03   5.39E-03   2.29E-03   2.26E-03
  1.78E-03   4.53E-03   1.90E-03   1.87E-03
  1.82E-03   3.82E-03   1.57E-03   1.55E-03
  1.86E-03   3.23E-03   1.31E-03   1.29E-03
  1.91E-03   2.75E-03   1.09E-03   1.08E-03
  1.95E-03   2.34E-03   9.17E-04   9.06E-04
  2.00E-03   2.01E-03   7.73E-04   7.64E-04
  2.04E-03   1.73E-03   6.54E-04   6.47E-04
  2.09E-03   1.49E-03   5.57E-04   5.51E-04
  2.14E-03   1.30E-03   4.76E-04   4.72E-04
  2.19E-03   1.14E-03   4.10E-04   4.06E-04
  2.24E-03   9.97E-04   3.54E-04   3.51E-04
  2.29E-03   8.80E-04   3.08E-04   3.06E-04
  2.34E-03   7.81E-04   2.69E-04   2.67E-04
  2.40E-03   6.97E-04   2.37E-04   2.35E-04
  2.45E-03   6.25E-04   2.09E-04   2.08E-04
  2.51E-03   5.63E-04   1.86E-04   1.85E-04
  2.57E-03   5.09E-04   1.66E-04   1.65E-04
  2.63E-03   4.63E-04   1.50E-04   1.49E-04
  2.69E-03   4.23E-04   1.35E-04   1.34E-04
  2.75E-03   3.88E-04   1.23E-04   1.22E-04
  2.82E-03   3.58E-04   1.12E-04   1.11E-04
